id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,nom_commune,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,lot1_surface_carrez,lot2_surface_carrez,lot3_surface_carrez,lot4_surface_carrez,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,day_mutation,month_mutation
2021-108326,2021-03-09,1,Vente,288000.0,9001.0,,LE CAP DES TERRASSES,A223,13260.0,Cassis,,,13022000CY0096,,49.69,,,,,1,2.0,Appartement,45.0,2.0,,,,,,5.531727,43.228373,9,3
2021-108326,2021-03-09,1,Vente,288000.0,9001.0,,LE CAP DES TERRASSES,A223,13260.0,Cassis,,,13022000CY0096,,49.69,,,,,1,3.0,Dépendance,,0.0,,,,,,5.531727,43.228373,9,3
2021-108327,2021-03-24,1,Vente en l'état futur d'achèvement,664000.0,44.0,,RUE CALLELONGUE,1598,13008.0,Marseille 8e Arrondissement,,,132088440L0262,,,,,,,1,,,,,,,,,,5.388586,43.257158,24,3
2021-108327,2021-03-24,1,Vente en l'état futur d'achèvement,664000.0,44.0,,RUE CALLELONGUE,1598,13008.0,Marseille 8e Arrondissement,,,132088440L0262,,,,,,,1,,,,,,,,,,5.388586,43.257158,24,3
2021-108327,2021-03-24,1,Vente en l'état futur d'achèvement,664000.0,44.0,,RUE CALLELONGUE,1598,13008.0,Marseille 8e Arrondissement,,,132088440L0262,,,,,,,1,,,,,,,,,,5.388586,43.257158,24,3
2021-108327,2021-03-24,1,Vente en l'état futur d'achèvement,664000.0,44.0,,RUE CALLELONGUE,1598,13008.0,Marseille 8e Arrondissement,,,132088440L0262,,,,,,,1,,,,,,,,,,5.388586,43.257158,24,3
2021-108328,2021-03-26,1,Vente,590000.0,,,LES PLAINES MARINES,B096,13600.0,La Ciotat,,,13028000BX0208,,,,,,,0,,,,,B,bois,,,2940.0,5.657728,43.19437,26,3
2021-108328,2021-03-26,1,Vente,590000.0,9124.0,,LES PLAINES MARINES,B096,13600.0,La Ciotat,,,13028000BX0209,,,,,,,0,1.0,Maison,118.0,4.0,S,sols,,,360.0,5.657744,43.194326,26,3
2021-108328,2021-03-26,1,Vente,590000.0,9124.0,,LES PLAINES MARINES,B096,13600.0,La Ciotat,,,13028000BX0209,,,,,,,0,3.0,Dépendance,,0.0,S,sols,,,360.0,5.657744,43.194326,26,3
2021-108328,2021-03-26,1,Vente,590000.0,,,LES PLAINES MARINES,B096,13600.0,La Ciotat,,,13028000BX0475,,,,,,,0,,,,,T,terres,,,1855.0,5.656108,43.194908,26,3
2021-108328,2021-03-26,1,Vente,590000.0,,,LES PLAINES MARINES,B096,13600.0,La Ciotat,,,13028000BX0476,,,,,,,0,,,,,VI,vignes,,,1060.0,5.657382,43.194198,26,3
2021-108329,2021-03-11,1,Vente,216000.0,3.0,,ALL CERVANTES,1940,13009.0,Marseille 9e Arrondissement,,,132098520D0012,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.398553,43.234178,11,3
